County,RX_Count
AB,49
AK,9
AL,339
ALB,1049
ALL,235
ALL/CAT,1
ALS,1
AR,379
AZ,550
BARA,1
BC,161
BOB/ERI,1
BRM,862
BRO,2
BRX,43
BRX/WES,1
C26,1
CA,887
CAT,680
CAU,1
CAY,235
CGO,252
CHA,276
CHA/CAT,1
CHE,160
CHE/WES,1
CHT,1
CLI,79
CO,563
COL,241
COR,121
CT,451
D,4
D20,1
DC,2
DE,212
DEL,236
DEW,1
DUC,1
DUT,1162
DVS,1
DX,1661
E02,1
EA,1
ERI,4028
ESS,388
FL,1664
FLA,1
FRA,715
FRN,1
FUL,206
GA,1072
GE,1
GEN,313
GEN/MON,2
GRE,382
GRE/DEL,1
H02,1
HAM,139
HER,411
HI,7
IA,254
ID,54
IK,1
IL,2100
IN,680
JEF,79
K04,1
KIN,189
KS,666
KY,355
LA,86
LEW,120
LIV,316
MA,880
MAD,246
MAR,4
MB,21
MD,567
ME,542
MI,903
MN,2569
MO,864
MON,3044
MS,83
MT,100
MTG,214
NAS,706
NB,34
NC,1757
ND,17
NE,121
NEW,7
NH,302
NIA,2119
NJ,1873
NL,3
NLI,1
NM,110
NNA,1
NS,123
NV,50
NY,6
OEF,2
OH,1886
OHMI,1
OK,1019
ON,1705
ONE,249
ONO,2976
ONS,1
ONT,687
OR,141
ORA,1334
ORA/ORG,1
ORA/ROC,5
ORATFROC,1
ORI,1
ORL,809
OSW,900
OTH,1
OTN,1
OTS,521
PA,2639
PE,3
PUT,448
PUT/WES,3
QC,153
QUE,59
R01,1
REN,447
RI,128
RIC,1714
ROC,387
ROC/ORA,2
ROC/ORG,1
SAR,1039
SC,1029
SCH,398
SCH/MTG,2
SCO,523
SCU,513
SD,15
SEN,207
SK,34
SSC,1
STE,1296
STL,537
SUF,2121
SUG,1
SUL,231
TEO,1
TIO,407
TN,1238
TOM,197
TX,1677
ULI,1
ULS,1279
USA,6
UT,117
VA,1853
VI,1
VT,328
WA,398
WAR,768
WAS,118
WAY,162
WES,698
WES/BRX,1
WI,788
WV,821
WVA,1
WY,39
WYO,157
WYO/ERI,1
X,4
YAT,950
YAT/STE,1
