County,Total_Count
AB,75
AK,11
AL,393
ALB,2417
ALL,653
ALL/CAT,1
ALS,1
AR,622
AZ,942
BARA,1
BC,267
BOB/ERI,1
BRM,1919
BRO,2
BRX,62
BRX/WES,1
C26,1
CA,1322
CAT,1832
CAU,1
CAY,493
CGO,585
CHA,472
CHA/CAT,1
CHE,311
CHE/WES,1
CHT,1
CLI,182
CO,735
COL,608
COR,298
CT,736
D,4
D20,1
DC,2
DE,343
DEL,535
DEW,1
DUC,1
DUT,2298
DVS,1
DX,2257
E02,1
EA,1
ERI,9851
ESS,817
FL,2824
FLA,1
FRA,1701
FRN,1
FUL,445
GA,1582
GE,1
GEN,783
GEN/MON,2
GRE,1028
GRE/DEL,1
H02,1
HAM,285
HER,1183
HI,7
IA,267
ID,54
IK,1
IL,3618
IN,1003
JEF,166
K04,1
KIN,637
KS,1139
KY,434
LA,125
LEW,257
LIV,780
MA,1431
MAD,542
MAR,4
MB,21
MD,730
ME,939
MI,1163
MN,4664
MO,1497
MON,6736
MS,94
MT,125
MTG,385
NAS,2200
NB,46
NC,2429
ND,17
NE,121
NEW,7
NH,498
NIA,5351
NJ,2955
NL,3
NLI,1
NM,175
NNA,1
NS,218
NV,57
NY,6
OEF,2
OH,2810
OHMI,1
OK,1941
ON,3100
ONE,484
ONO,7886
ONS,1
ONT,1764
OR,191
ORA,3418
ORA/ORG,1
ORA/ROC,5
ORATFROC,1
ORI,1
ORL,2032
OSW,2052
OTH,1
OTN,1
OTS,1164
PA,4035
PE,3
PUT,1498
PUT/WES,3
QC,214
QUE,88
R01,1
REN,1035
RI,128
RIC,4514
ROC,1151
ROC/ORA,2
ROC/ORG,1
SAR,2346
SC,1618
SCH,835
SCH/MTG,2
SCO,1182
SCU,1423
SD,15
SEN,463
SK,34
SSC,1
STE,3063
STL,1239
SUF,4570
SUG,1
SUL,518
SUN,9
TEO,1
TIO,549
TN,2055
TOM,330
TX,2639
ULI,1
ULS,3145
USA,6
UT,167
VA,3049
VI,1
VT,524
WA,591
WAR,1706
WAS,214
WAY,279
WES,2104
WES/BRX,1
WI,1091
WV,1320
WVA,1
WY,39
WYO,398
WYO/ERI,1
X,4
YAT,2334
YAT/STE,1
