County,TX_Count
AB,26
AK,2
AL,54
ALB,1368
ALL,418
AR,243
AZ,392
BC,106
BRM,1057
BRX,19
CA,435
CAT,1152
CAY,258
CGO,333
CHA,196
CHE,151
CLI,103
CO,172
COL,367
COR,177
CT,285
DE,131
DEL,299
DUT,1136
DX,596
ERI,5823
ESS,429
FL,1160
FRA,986
FUL,239
GA,510
GEN,470
GRE,646
HAM,146
HER,772
IA,13
IL,1518
IN,323
JEF,87
KIN,448
KS,473
KY,79
LA,39
LEW,137
LIV,464
MA,551
MAD,296
MD,163
ME,397
MI,260
MN,2095
MO,633
MON,3692
MS,11
MT,25
MTG,171
NAS,1494
NB,12
NC,672
NH,196
NIA,3232
NJ,1082
NM,65
NS,95
NV,7
OH,924
OK,922
ON,1395
ONE,235
ONO,4910
ONT,1077
OR,50
ORA,2084
ORL,1223
OSW,1152
OTS,643
PA,1396
PUT,1050
QC,61
QUE,29
REN,588
RIC,2800
ROC,764
SAR,1307
SC,589
SCH,437
SCO,659
SCU,910
SEN,256
STE,1767
STL,702
SUF,2449
SUL,287
SUN,9
TIO,142
TN,817
TOM,133
TX,962
ULS,1866
UT,50
VA,1196
VT,196
WA,193
WAR,938
WAS,96
WAY,117
WES,1406
WI,303
WV,499
WYO,241
YAT,1384
